identifier,name,description,ingredients,serving_size,servings,steps,tags,search_terms
182365,Christmas Truffles,"We hand these around the neighbourhood at Christmas wrapped in pretty paper and
ribbons, we also accompany it with apricot balls(also posted)I am unsure as to
how many it makes, but I think it is 60, more ingredients at beginning of instructions because computer did not recognize them.","[""1   cup    dried mixed fruit""\,""4 -6   tablespoons    brandy""\,""2 1/2  cups   crumbled chocolate cake""\,""1/4  cup    icing sugar""\,""""\,""3/4  cup    glace cherries\, green and red ""\,""""\,""3/4  cup    dark chocolate melts""\,""1   cup    dark chocolate melts""\,""1/2  cup    white chocolate chips""]",2,60,"['You also need for the balls 3/4 cup dark melts\, melted.'\, 'And for the finish 1 cup dark melts and 1/2 cup white melts.'\, 'Process dried fruit with brandy until finely chopped.'\, 'Put in a bowl.'\, 'Add chocolate cake crumbs\, icing sugar\, melted first measure of dark melts.'\, 'Mix thoroughly.'\, 'Roll into small balls about tsp size.'\, 'Chill until firm.'\, 'Finish:'\, 'Melt dark melts and coat all over the balls with.'\, 'Place on a tray lined with foil.'\, 'Chill until firm.'\, 'Chop glace cherries.'\, 'Melt the white melts.'\, 'Using a spoon put a bit over each ball and decorate with glace cherries.']","['15-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'cuisine'\, 'preparation'\, 'occasion'\, 'south-west-pacific'\, 'for-large-groups'\, 'desserts'\, 'fruit'\, 'easy'\, 'no-cook'\, 'beginner-cook'\, 'holiday-event'\, 'vegan'\, 'vegetarian'\, 'candy'\, 'chocolate'\, 'dietary'\, 'gifts'\, 'christmas'\, 'inexpensive'\, 'egg-free'\, 'new-zealand'\, 'free-of-something'\, 'pitted-fruit'\, 'cherries'\, 'number-of-servings'\, 'technique']","{'dessert'\, 'vegetarian'\, 'vegan'}"
48975,Christmas Cake,"Christmas Cake is one of the traditional joys of the holiday season - but it also fills the producer with terror - in case it isn't perfect. This is the antidote, and is exactly what you need for Christmas - a laugh!","[""""\,""1   cup    water""\,""1   teaspoon    baking soda""\,""1   cup    sugar""\,""1   teaspoon    salt""\,""1   cup    brown sugar""\,""  lemon juice""\,""4   large    eggs""\,""  nuts""\,""1 (1500   ml) bottle   vodka""\,""2   cups    dried fruit""]",483,4,"['Sample the Vodka to check quality.'\, 'Take a large bowl\, check the Vodka again.'\, 'to be sure it is of the highest quality\, pour one level cup and drink.'\, 'Repeat.'\, 'Turn on the electric mixer.'\, 'Beat one cup of butter in a large fluffy bowl.'\, 'Add one teaspoon sugar.'\, 'Beat again.'\, 'At this point it is best to make sure that the Vodka is shtill OK.'\, 'try another cup-- just in case.'\, 'Turn off the mixerer.'\, 'Break 2 leggs and add to the bowl and chuck in a cup of dried fruit.'\, 'Pick fruit up off floor.'\, 'Mix on the turner.'\, 'If the dried fruit gets stuck in the beaterers\, pry it loose with a drewscriver.'\, 'Sample the Vodka to check for tonsisticity.'\, 'Next sift two cups of salt.'\, 'Or something.'\, 'Who giveshz a whip.'\, 'Check the Vodka.'\, 'Now shift the lemon juice and strain your nuts.'\, 'Add one table.'\, 'Add a spoon of sugar\, or somefink.'\, 'Whatever you can find.'\, 'Greash the oven.'\, 'Turn the cake tin 360 degrees and try not to fall over.'\, ""Don't forget to beat off the turner.""\, 'Finally throw the bowl through the window\, finish the Vodka and kick the cat.'\, 'Cherry Mistmas!']","['weeknight'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'cuisine'\, 'preparation'\, 'occasion'\, 'low-protein'\, 'healthy'\, 'desserts'\, 'fruit'\, 'european'\, 'holiday-event'\, 'kosher'\, 'low-fat'\, 'cakes'\, 'english'\, 'nuts'\, 'dietary'\, 'christmas'\, 'low-sodium'\, 'low-saturated-fat'\, 'low-in-something']","{'low-sodium'\, 'dessert'\, 'english'\, 'low-fat'\, 'cake'}"
49184,Christmas Trash,"The best Christmas snack you'll ever try---everyone starts asking for it weeks before Thanksgiving. A friend gave me the recipe, and she had found it in a magazine, ","[""3   cups    Rice Chex""\,""3   cups    Corn Chex""\,""3   cups   honey nut Cheerios toasted oat cereal""\,""2   cups    small pretzels""\,""2   cups    salted peanuts""\,""1 (12   ounce) bag  holiday M\\u0026M\\u0027s plain chocolate candy (red \\u0026 green)""\,""1 (12   ounce) bag  holiday M\\u0026M\\u0027s peanut chocolate candies""\,""2 (12   ounce) bags   white chocolate chips""]",2057,1,"['Mix all ingredients but the white chocolate morsels in a large bowl.'\, 'Melt white chocolate morsels according to directions on the package.'\, 'Pour melted white chocolate over the cereal mixture and toss well to coat.'\, 'Spread on waxed paper and let sit until the white chocolate hardens.'\, 'Store in an airtight container.']","['15-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'cuisine'\, 'preparation'\, 'occasion'\, 'north-american'\, 'lunch'\, 'snacks'\, 'american'\, 'easy'\, 'finger-food'\, 'holiday-event'\, 'chocolate'\, 'dietary'\, 'gifts'\, 'christmas'\, 'number-of-servings'\, 'presentation']","{'lunch'\, 'snack'}"
537548,Christmas Pudding,"Christmas pudding is definitely a divider of opinions. We usually have a small one every year and theres only a few people in my family who properly love it. I like to have a small piece which, as it's packed with dried fruit, is definitely enough for me! The pudding keeps incredibly well so you can freeze leftovers, if needed.","[""1 1/2  cups    raisins""\,""1   cup    currants""\,""1/2  cup   chopped mixed peel""\,""1       lemon\, juice and zest of""\,""1       orange\, juice and zest of""\,""1/2  cup    brandy""\,""3/4  cup    unsalted butter""\,""3/4  cup    dark brown sugar""\,""2   large    eggs""\,""1 1/2  cups    fresh breadcrumbs""\,""1   cup    all-purpose flour""\,""1   teaspoon    baking powder""\,""1/4  teaspoon    salt""\,""1   teaspoon    mixed spice""]",184,10,"['Mix the dried fruits with the lemon and orange zest and juice in a large bowl. Leave for 10-12 hours to soak.'\, 'In a separate large bowl\, mix the butter and sugar together until smooth. Stir in the eggs until combined. Add the breadcrumbs\, flour\, baking powder\, salt and mixed spice and stir together until just combined.'\, 'Pour the contents of the dried fruit bowl into the batter and gently mix to combine.'\, 'Pour into a greased 6-cup pudding basin (or a heatproof mixing bowl). Cover with a piece of baking paper and secure around the top with cooking twine. Lower into a large pot half-filled with simmering water. Cover the pot and leave on the stove to simmer\, steaming the pudding\, for 5 hours. Keep an eye on it as it steams\, topping it up with more water as needed.'\, ""Leave to cool then store in a cool part of the house for up to 7 days. When you're ready to eat it\, just steam again for 1 hour. Tip out onto a serving platter and serve warm with whipped cream.""]","['course'\, 'cuisine'\, 'occasion'\, 'desserts'\, 'european'\, 'holiday-event'\, 'english'\, 'christmas']","{'dessert'\, 'pudding'\, 'english'}"
113658,Christmas Bailey's,My mother-in-law made this for Christmas and it was great.  Tastes like the real thing but much cheaper to make then to buy.  Make sure you keep it refrigerated.,"[""1   cup    half-and-half""\,""1 (14   ounce) can   sweetened condensed milk""\,""1 2/3  cups    whiskey""\,""1 1/2  tablespoons    Hersheys Chocolate Syrup""\,""1   tablespoon    almond extract""\,""1   tablespoon    instant coffee""]",1054,1,"['Whip all ingredients together with a metal whip for 30 seconds.'\, 'Put in a 750 ml bottle.'\, 'Make sure you keep it in the refrigerate.'\, 'Some of my friend like to add it to coffee or mix with ice cream in a blender.']","['15-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'healthy'\, 'beverages'\, 'holiday-event'\, 'cocktails'\, 'dietary'\, 'christmas'\, 'low-sodium'\, 'low-in-something']",{'low-sodium'}
105288,Christmas Oranges,A delightfull frozen dessert for Christmas.,"[""8   large    oranges""\,""1   quart    French vanilla ice cream""\,""1/4  cup    Grand Marnier""\,""1   teaspoon    ground cinnamon""\,""  of fresh mint""]",291,8,"['Cut a very thin slice from the base of each orange so that it will stand upright\, Not to cut into pulp.'\, 'Cut off upper third of each orange and scoop out orange pulp.'\, 'Remove membraines from pulp.'\, 'Combine orange pulp with ice cream and Grand Marnier.'\, 'Fill each orange shell with mixture and freeze.'\, 'Before serving sprinkle with cinnamon and garnish each with a sprig of mint.'\, 'Serve and enjoy.']","['60-minutes-or-less'\, 'time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, '5-ingredients-or-less'\, 'desserts'\, 'easy'\, 'holiday-event'\, 'frozen-desserts'\, 'dietary'\, 'christmas']",{'dessert'}
103313,Christmas Brownies,"Dark chocolate brownies with warm holiday spices! You can frost the baked and cooled brownies with dark chocolate and sprinkle flaked almonds on top, if you prefer. Recipe adapted from a Dr.Oetker leaflet recipe.","[""200   g    dark chocolate""\,""250   g    butter""\,""300   ml    sugar""\,""4       eggs""\,""400   ml    all-purpose flour""\,""1   tablespoon    baking powder""\,""2   teaspoons    baking soda""\,""2   teaspoons    cinnamon""\,""1   teaspoon    ground ginger""\,""1   teaspoon    ground cloves""\,""50   g   chopped almonds""\,""120   g    dark chocolate chips""]",66,16,"['Prepare a 22 x 30 cm square pan: grease or line with foil.'\, 'Preheat oven to 200°C.'\, 'Melt chocolate and butter on top of a double boiler.'\, 'Whip eggs and sugar until light and fluffy: add the slightly cooled chocolate and butter mixture\, stir to combine.'\, 'Combine flour\, baking powder\, baking soda and the spices and sift the flour mixture into the egg mixture; stir to combine.'\, 'Add chopped almonds and chocolate chips\, stir just until incorporated.'\, 'Pour the batter into the prepared pan and spread evenly.'\, 'Bake in the preheated oven for 30-35 minutes.'\, 'Allow the cake to cool in the pan.']","['60-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'for-large-groups'\, 'desserts'\, 'holiday-event'\, 'cookies-and-brownies'\, 'chocolate'\, 'bar-cookies'\, 'brownies'\, 'dietary'\, 'spicy'\, 'christmas'\, 'taste-mood'\, 'sweet'\, 'number-of-servings']",{'dessert'}
199382,Christmas Nuts,My grandma used to make these for us every Christmas.  Now I bring them to Christmas on all the other sides of the family.  It always ends up with people fighting over the last handful.  And it doesn't take very long either.  These little suckers are addicting!,"[""1   lb    pecan halves (you could use almond halves instead but I like the pecans)""\,""1   tablespoon    cold water""\,""1       egg white""\,""1   cup    sugar""\,""1   tablespoon    cinnamon""\,""1   teaspoon    salt""]",716,1,"['Mix sugar\, cinnamon and salt together.'\, 'Set aside.'\, 'Beat water and egg white together until frothy.'\, 'Coat nuts in egg mixture.'\, 'Add sugar mixture to nuts.'\, 'Mix well.'\, 'Spread on large greased cookie sheet.'\, 'Bake at 225 degrees F for 1 hour stirring every 15 minutes.']","['time-to-make'\, 'course'\, 'preparation'\, 'occasion'\, 'desserts'\, 'easy'\, 'beginner-cook'\, 'holiday-event'\, 'dietary'\, 'christmas'\, 'taste-mood'\, 'sweet'\, '4-hours-or-less']",{'dessert'}
29380,Christmas Jello,Our family looks forward to this every holiday. It's a yummy and unusual dessert that always sparks a conversation. An easy recipe that even children have no trouble assiting with.,"[""1   box    lemon Jell-O gelatin""\,""1/2  cup    red cinnamon candies""\,""2   cups    hot water""\,""2   cups    applesauce""\,""1   dash    salt""\,""3   ounces    cream cheese""\,""1/2  cup   chopped pecans""\,""1   tablespoon    lemon juice""]",110,12,"['Dissolve red hots in hot water.'\, 'Add jello and let cool.'\, 'Stir in apple sauce\, lemon juice\, and salt.'\, 'Chill until partially set.'\, 'While chilling\, form cream cheese into small balls and roll in nuts.'\, 'Fold into Jello-O mixture.'\, 'Chill until set.']","['60-minutes-or-less'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'low-protein'\, 'gelatin'\, 'desserts'\, 'eggs-dairy'\, 'refrigerator'\, 'holiday-event'\, 'cheese'\, 'dietary'\, 'christmas'\, 'low-sodium'\, 'low-cholesterol'\, 'low-calorie'\, 'low-in-something'\, 'equipment']","{'dessert'\, 'low-calorie'\, 'low-sodium'}"
11679,White Christmas,something a little different..,"[""115   g    vegetable shortening (I use Kremelta)""\,""1   cup    mixed dried fruit (include some glace cherries)""\,""1 1/2  cups    Rice Krispies""\,""1/2  cup    coconut""\,""1/2  cup    icing sugar""\,""1/2  cup    full cream milk powder""]",412,1,"['Melt shortening over low heat.'\, 'Combine with all other ingredients and mix well.'\, 'Press mixture evenly into slice tin and allow to set firm.'\, 'Cut into small slices to serve.']","['weeknight'\, 'time-to-make'\, 'course'\, 'main-ingredient'\, 'preparation'\, 'occasion'\, 'desserts'\, 'eggs-dairy'\, 'fruit'\, 'easy'\, 'refrigerator'\, 'holiday-event'\, 'candy'\, 'stove-top'\, 'dietary'\, 'christmas'\, 'equipment'\, 'number-of-servings'\, '4-hours-or-less']",{'dessert'}
